Uranus
                 x:                  y:                  z:                  t: 
         6280.824882         3639.896607        -67.85013993               0.803
         6280.824884          3639.89661         -67.8501399               0.804
         6280.824886         3639.896613        -67.85013986               0.805
         6280.824888         3639.896616        -67.85013982               0.806
          6280.82489          3639.89662        -67.85013978               0.807
         6280.824892         3639.896623        -67.85013974               0.808
         6280.824894         3639.896626        -67.85013971               0.809
         6280.824896         3639.896629        -67.85013967                0.81
         6280.824898         3639.896633        -67.85013963               0.811
           6280.8249         3639.896636        -67.85013959               0.812
         6280.824902         3639.896639        -67.85013955               0.813
         6280.824904         3639.896642        -67.85013952               0.814
         6280.824906         3639.896645        -67.85013948               0.815
         6280.824908         3639.896649        -67.85013944               0.816
          6280.82491         3639.896652         -67.8501394               0.817
         6280.824912         3639.896655        -67.85013936               0.818
         6280.824914         3639.896658        -67.85013933               0.819
         6280.824916         3639.896661        -67.85013929                0.82
         6280.824918         3639.896665        -67.85013925               0.821
          6280.82492         3639.896668        -67.85013921               0.822
         6280.824922         3639.896671        -67.85013917               0.823
         6280.824924         3639.896674        -67.85013914               0.824
         6280.824926         3639.896678         -67.8501391               0.825
         6280.824928         3639.896681        -67.85013906               0.826
          6280.82493         3639.896684        -67.85013902               0.827
         6280.824932         3639.896687        -67.85013898               0.828
         6280.824934          3639.89669        -67.85013895               0.829
         6280.824936         3639.896694        -67.85013891                0.83
         6280.824938         3639.896697        -67.85013887               0.831
          6280.82494           3639.8967        -67.85013883               0.832
         6280.824942         3639.896703        -67.85013879               0.833
         6280.824944         3639.896707        -67.85013876               0.834
         6280.824946          3639.89671        -67.85013872               0.835
         6280.824948         3639.896713        -67.85013868               0.836
          6280.82495         3639.896716        -67.85013864               0.837
         6280.824952         3639.896719         -67.8501386               0.838
         6280.824954         3639.896723        -67.85013857               0.839
         6280.824956         3639.896726        -67.85013853                0.84
         6280.824958         3639.896729        -67.85013849               0.841
          6280.82496         3639.896732        -67.85013845               0.842
         6280.824962         3639.896736        -67.85013841               0.843
         6280.824964         3639.896739        -67.85013838               0.844
         6280.824966         3639.896742        -67.85013834               0.845
         6280.824968         3639.896745         -67.8501383               0.846
          6280.82497         3639.896748        -67.85013826               0.847
         6280.824972         3639.896752        -67.85013822               0.848
         6280.824974         3639.896755        -67.85013819               0.849
         6280.824976         3639.896758        -67.85013815                0.85
         6280.824978         3639.896761        -67.85013811               0.851
          6280.82498         3639.896764        -67.85013807               0.852
         6280.824982         3639.896768        -67.85013803               0.853
         6280.824984         3639.896771          -67.850138               0.854
         6280.824986         3639.896774        -67.85013796               0.855
         6280.824988         3639.896777        -67.85013792               0.856
          6280.82499         3639.896781        -67.85013788               0.857
         6280.824992         3639.896784        -67.85013784               0.858
         6280.824994         3639.896787        -67.85013781               0.859
         6280.824996          3639.89679        -67.85013777                0.86
         6280.824998         3639.896793        -67.85013773               0.861
            6280.825         3639.896797        -67.85013769               0.862
         6280.825002           3639.8968        -67.85013765               0.863
         6280.825004         3639.896803        -67.85013762               0.864
         6280.825006         3639.896806        -67.85013758               0.865
         6280.825008          3639.89681        -67.85013754               0.866
          6280.82501         3639.896813         -67.8501375               0.867
         6280.825012         3639.896816        -67.85013746               0.868
         6280.825014         3639.896819        -67.85013743               0.869
         6280.825016         3639.896822        -67.85013739                0.87
         6280.825018         3639.896826        -67.85013735               0.871
          6280.82502         3639.896829        -67.85013731               0.872
         6280.825022         3639.896832        -67.85013727               0.873
         6280.825024         3639.896835        -67.85013724               0.874
         6280.825026         3639.896838         -67.8501372               0.875
         6280.825028         3639.896842        -67.85013716               0.876
          6280.82503         3639.896845        -67.85013712               0.877
         6280.825032         3639.896848        -67.85013708               0.878
         6280.825034         3639.896851        -67.85013705               0.879
         6280.825036         3639.896855        -67.85013701                0.88
         6280.825038         3639.896858        -67.85013697               0.881
          6280.82504         3639.896861        -67.85013693               0.882
         6280.825042         3639.896864        -67.85013689               0.883
         6280.825044         3639.896867        -67.85013686               0.884
         6280.825046         3639.896871        -67.85013682               0.885
         6280.825048         3639.896874        -67.85013678               0.886
          6280.82505         3639.896877        -67.85013674               0.887
         6280.825052          3639.89688         -67.8501367               0.888
         6280.825054         3639.896884        -67.85013667               0.889
         6280.825056         3639.896887        -67.85013663                0.89
         6280.825058          3639.89689        -67.85013659               0.891
          6280.82506         3639.896893        -67.85013655               0.892
         6280.825062         3639.896896        -67.85013651               0.893
         6280.825064           3639.8969        -67.85013648               0.894
         6280.825066         3639.896903        -67.85013644               0.895
         6280.825068         3639.896906         -67.8501364               0.896
          6280.82507         3639.896909        -67.85013636               0.897
         6280.825072         3639.896913        -67.85013632               0.898
         6280.825074         3639.896916        -67.85013629               0.899
         6280.825076         3639.896919        -67.85013625                 0.9
         6280.825078         3639.896922        -67.85013621               0.901
          6280.82508         3639.896925        -67.85013617               0.902
         6280.825082         3639.896929        -67.85013613               0.903
         6280.825084         3639.896932         -67.8501361               0.904
         6280.825086         3639.896935        -67.85013606               0.905
         6280.825088         3639.896938        -67.85013602               0.906
          6280.82509         3639.896941        -67.85013598               0.907
         6280.825092         3639.896945        -67.85013594               0.908
         6280.825094         3639.896948        -67.85013591               0.909
         6280.825096         3639.896951        -67.85013587                0.91
         6280.825098         3639.896954        -67.85013583               0.911
           6280.8251         3639.896958        -67.85013579               0.912
         6280.825102         3639.896961        -67.85013576               0.913
         6280.825104         3639.896964        -67.85013572               0.914
         6280.825106         3639.896967        -67.85013568               0.915
         6280.825108          3639.89697        -67.85013564               0.916
          6280.82511         3639.896974         -67.8501356               0.917
         6280.825112         3639.896977        -67.85013557               0.918
         6280.825114          3639.89698        -67.85013553               0.919
         6280.825116         3639.896983        -67.85013549                0.92
         6280.825118         3639.896987        -67.85013545               0.921
          6280.82512          3639.89699        -67.85013541               0.922
         6280.825122         3639.896993        -67.85013538               0.923
         6280.825124         3639.896996        -67.85013534               0.924
         6280.825126         3639.896999         -67.8501353               0.925
         6280.825128         3639.897003        -67.85013526               0.926
          6280.82513         3639.897006        -67.85013522               0.927
         6280.825132         3639.897009        -67.85013519               0.928
         6280.825134         3639.897012        -67.85013515               0.929
         6280.825136         3639.897015        -67.85013511                0.93
         6280.825138         3639.897019        -67.85013507               0.931
          6280.82514         3639.897022        -67.85013503               0.932
         6280.825142         3639.897025          -67.850135               0.933
         6280.825144         3639.897028        -67.85013496               0.934
         6280.825146         3639.897032        -67.85013492               0.935
         6280.825148         3639.897035        -67.85013488               0.936
          6280.82515         3639.897038        -67.85013484               0.937
         6280.825152         3639.897041        -67.85013481               0.938
         6280.825154         3639.897044        -67.85013477               0.939
         6280.825156         3639.897048        -67.85013473                0.94
         6280.825158         3639.897051        -67.85013469               0.941
          6280.82516         3639.897054        -67.85013465               0.942
         6280.825162         3639.897057        -67.85013462               0.943
         6280.825164         3639.897061        -67.85013458               0.944
         6280.825166         3639.897064        -67.85013454               0.945
         6280.825168         3639.897067         -67.8501345               0.946
          6280.82517          3639.89707        -67.85013446               0.947
         6280.825172         3639.897073        -67.85013443               0.948
         6280.825174         3639.897077        -67.85013439               0.949
         6280.825176          3639.89708        -67.85013435                0.95
         6280.825178         3639.897083        -67.85013431               0.951
          6280.82518         3639.897086        -67.85013427               0.952
         6280.825182         3639.897089        -67.85013424               0.953
         6280.825184         3639.897093         -67.8501342               0.954
         6280.825186         3639.897096        -67.85013416               0.955
         6280.825188         3639.897099        -67.85013412               0.956
          6280.82519         3639.897102        -67.85013408               0.957
         6280.825192         3639.897106        -67.85013405               0.958
         6280.825194         3639.897109        -67.85013401               0.959
         6280.825196         3639.897112        -67.85013397                0.96
         6280.825198         3639.897115        -67.85013393               0.961
           6280.8252         3639.897118        -67.85013389               0.962
         6280.825202         3639.897122        -67.85013386               0.963
         6280.825204         3639.897125        -67.85013382               0.964
         6280.825206         3639.897128        -67.85013378               0.965
         6280.825208         3639.897131        -67.85013374               0.966
          6280.82521         3639.897135         -67.8501337               0.967
         6280.825212         3639.897138        -67.85013367               0.968
         6280.825214         3639.897141        -67.85013363               0.969
         6280.825216         3639.897144        -67.85013359                0.97
         6280.825218         3639.897147        -67.85013355               0.971
          6280.82522         3639.897151        -67.85013351               0.972
         6280.825222         3639.897154        -67.85013348               0.973
         6280.825224         3639.897157        -67.85013344               0.974
         6280.825226          3639.89716         -67.8501334               0.975
         6280.825228         3639.897164        -67.85013336               0.976
          6280.82523         3639.897167        -67.85013332               0.977
         6280.825232          3639.89717        -67.85013329               0.978
