Mercury
                 x:                  y:                  z:                  t: 
           -120.3221        -106.9808984         2.051153338               0.337
        -120.3220863        -106.9809175         2.051150521               0.338
        -120.3220725        -106.9809365         2.051147704               0.339
        -120.3220587        -106.9809555         2.051144887                0.34
         -120.322045        -106.9809745         2.051142071               0.341
        -120.3220312        -106.9809935         2.051139254               0.342
        -120.3220174        -106.9810126         2.051136437               0.343
        -120.3220037        -106.9810316          2.05113362               0.344
        -120.3219899        -106.9810506         2.051130803               0.345
        -120.3219761        -106.9810696         2.051127986               0.346
        -120.3219623        -106.9810886         2.051125169               0.347
        -120.3219486        -106.9811076         2.051122352               0.348
        -120.3219348        -106.9811267         2.051119535               0.349
         -120.321921        -106.9811457         2.051116717                0.35
        -120.3219072        -106.9811647           2.0511139               0.351
        -120.3218934        -106.9811837         2.051111083               0.352
        -120.3218797        -106.9812027         2.051108266               0.353
        -120.3218659        -106.9812217         2.051105449               0.354
        -120.3218521        -106.9812407         2.051102631               0.355
        -120.3218383        -106.9812597         2.051099814               0.356
        -120.3218245        -106.9812787         2.051096997               0.357
        -120.3218107        -106.9812977         2.051094179               0.358
        -120.3217969        -106.9813167         2.051091362               0.359
        -120.3217831        -106.9813357         2.051088545                0.36
        -120.3217693        -106.9813547         2.051085727               0.361
        -120.3217555        -106.9813737          2.05108291               0.362
        -120.3217417        -106.9813926         2.051080092               0.363
        -120.3217279        -106.9814116         2.051077275               0.364
        -120.3217141        -106.9814306         2.051074457               0.365
        -120.3217003        -106.9814496         2.051071639               0.366
        -120.3216865        -106.9814686         2.051068822               0.367
        -120.3216727        -106.9814876         2.051066004               0.368
        -120.3216589        -106.9815066         2.051063187               0.369
         -120.321645        -106.9815255         2.051060369                0.37
        -120.3216312        -106.9815445         2.051057551               0.371
        -120.3216174        -106.9815635         2.051054733               0.372
        -120.3216036        -106.9815825         2.051051916               0.373
        -120.3215898        -106.9816014         2.051049098               0.374
        -120.3215759        -106.9816204          2.05104628               0.375
        -120.3215621        -106.9816394         2.051043462               0.376
        -120.3215483        -106.9816584         2.051040644               0.377
        -120.3215345        -106.9816773         2.051037826               0.378
        -120.3215206        -106.9816963         2.051035008               0.379
        -120.3215068        -106.9817153          2.05103219                0.38
         -120.321493        -106.9817342         2.051029372               0.381
        -120.3214791        -106.9817532         2.051026554               0.382
        -120.3214653        -106.9817721         2.051023736               0.383
        -120.3214515        -106.9817911         2.051020918               0.384
        -120.3214376        -106.9818101           2.0510181               0.385
        -120.3214238         -106.981829         2.051015282               0.386
        -120.3214099         -106.981848         2.051012464               0.387
        -120.3213961        -106.9818669         2.051009645               0.388
        -120.3213823        -106.9818859         2.051006827               0.389
        -120.3213684        -106.9819048         2.051004009                0.39
        -120.3213546        -106.9819238         2.051001191               0.391
        -120.3213407        -106.9819427         2.050998372               0.392
        -120.3213269        -106.9819617         2.050995554               0.393
